stage,case_id,shape,seed,input_sha256,strategy,mode,n,run_count,run_lengths,plan,comparisons,check_comparisons,sort_comparisons,bound,tree_budget,conditional_applicable,conditional_bound,cost_source,median_ns,min_ns,max_ns,samples_ns
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,fixed_four,counted,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]",fixed_four,533,6,527,772,,False,287,measured and independently checked,420375,418000,428084,"[426917, 420375, 419584, 418000, 428084]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,fixed_four,plain,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]",fixed_four,533,6,527,772,,False,287,proved symbolic instrumentation (not maintained),121333,118625,123083,"[121333, 123083, 118625, 122000, 119084]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,runs_count,reference,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]","[[[[[1, [2, 2]], [2, [1, 1]]], [[1, [3, 1]], [1, [2, 2]]]], [[[1, [3, 1]], [2, [1, 2]]], [[1, [2, 1]], [[2, 4], [4, 3]]]]], [[[[1, [3, 2]], [1, [2, 2]]], [[2, [2, 3]], [[1, 1], [4, 1]]]], [[[2, [4, 3]], [1, [5, 1]]], [[3, [1, 2]], [[1, 1], [1, 1]]]]]]",569,96,473,678,563,False,,measured and independently checked,3053458,2993500,3098417,"[3053458, 3005250, 3098417, 3072042, 2993500]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,runs_count,counted,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]","[[[[[1, [2, 2]], [2, [1, 1]]], [[1, [3, 1]], [1, [2, 2]]]], [[[1, [3, 1]], [2, [1, 2]]], [[1, [2, 1]], [[2, 4], [4, 3]]]]], [[[[1, [3, 2]], [1, [2, 2]]], [[2, [2, 3]], [[1, 1], [4, 1]]]], [[[2, [4, 3]], [1, [5, 1]]], [[3, [1, 2]], [[1, 1], [1, 1]]]]]]",569,96,473,678,563,False,,measured and independently checked,408667,401042,422791,"[413708, 401042, 406459, 422791, 408667]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,runs_count,plain,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]","[[[[[1, [2, 2]], [2, [1, 1]]], [[1, [3, 1]], [1, [2, 2]]]], [[[1, [3, 1]], [2, [1, 2]]], [[1, [2, 1]], [[2, 4], [4, 3]]]]], [[[[1, [3, 2]], [1, [2, 2]]], [[2, [2, 3]], [[1, 1], [4, 1]]]], [[[2, [4, 3]], [1, [5, 1]]], [[3, [1, 2]], [[1, 1], [1, 1]]]]]]",569,96,473,678,563,False,,proved symbolic instrumentation (not maintained),112917,110750,114041,"[113250, 110750, 114041, 112833, 112917]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,runs_count,staged_reference,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]","[[[[[1, [2, 2]], [2, [1, 1]]], [[1, [3, 1]], [1, [2, 2]]]], [[[1, [3, 1]], [2, [1, 2]]], [[1, [2, 1]], [[2, 4], [4, 3]]]]], [[[[1, [3, 2]], [1, [2, 2]]], [[2, [2, 3]], [[1, 1], [4, 1]]]], [[[2, [4, 3]], [1, [5, 1]]], [[3, [1, 2]], [[1, 1], [1, 1]]]]]]",569,96,473,678,563,False,,measured and independently checked,3006167,2968500,3061209,"[3006167, 2976959, 3061209, 3010167, 2968500]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,runs_count,scan_only,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]","[[[[[1, [2, 2]], [2, [1, 1]]], [[1, [3, 1]], [1, [2, 2]]]], [[[1, [3, 1]], [2, [1, 2]]], [[1, [2, 1]], [[2, 4], [4, 3]]]]], [[[[1, [3, 2]], [1, [2, 2]]], [[2, [2, 3]], [[1, 1], [4, 1]]]], [[[2, [4, 3]], [1, [5, 1]]], [[3, [1, 2]], [[1, 1], [1, 1]]]]]]",569,96,473,678,563,False,,measured and independently checked,2112750,2077834,2140292,"[2116250, 2077834, 2140292, 2112750, 2095750]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,runs_count,merge_only,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]","[[[[[1, [2, 2]], [2, [1, 1]]], [[1, [3, 1]], [1, [2, 2]]]], [[[1, [3, 1]], [2, [1, 2]]], [[1, [2, 1]], [[2, 4], [4, 3]]]]], [[[[1, [3, 2]], [1, [2, 2]]], [[2, [2, 3]], [[1, 1], [4, 1]]]], [[[2, [4, 3]], [1, [5, 1]]], [[3, [1, 2]], [[1, 1], [1, 1]]]]]]",569,96,473,678,563,False,,measured and independently checked,1322084,1295959,1348792,"[1295959, 1306750, 1348792, 1336292, 1322084]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,runs_count,staged_direct,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]","[[[[[1, [2, 2]], [2, [1, 1]]], [[1, [3, 1]], [1, [2, 2]]]], [[[1, [3, 1]], [2, [1, 2]]], [[1, [2, 1]], [[2, 4], [4, 3]]]]], [[[[1, [3, 2]], [1, [2, 2]]], [[2, [2, 3]], [[1, 1], [4, 1]]]], [[[2, [4, 3]], [1, [5, 1]]], [[3, [1, 2]], [[1, 1], [1, 1]]]]]]",569,96,473,678,563,False,,measured and independently checked,411333,409125,428750,"[428750, 411333, 414500, 410458, 409125]"
paired,test-300007-97-random,random,300007,099eba1034cc68a896c6ea49a7a8841a0073765fb27e3a3489610dc6a38d75f0,runs_length,reference,97,51,"[1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 3, 1, 2, 1, 2, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 4, 3, 1, 5, 1, 3, 1, 2, 1, 1, 1, 1]","[[[[[[1, 2], [2, 2]], [[[1, 1], 1], 3]], [[[1, 1], [2, 2]], [[1, 3], 1]]], [[[[2, 1], [2, 1]], [[2, 1], 2]], [[4, 4], [[3, 1], 3]]]], [[[[[2, 1], 2], [2, [2, 2]]], [[3, [1, 1]], [4, [1, 2]]]], [[[4, 3], [1, 5]], [[[1, 3], 1], [[2, 1], [[1, 1], 1]]]]]]",572,96,476,640,544,False,,measured and independently checked,3145709,3094000,3245708,"[3094000, 3118917, 3245708, 3179083, 3145709]"
